## Dateiname: 2-grams_default91.alph.tab
## Alphabet: default91.alph
## Modulus: 91
## Text: gutenberg.txt
## Anzahl der 2-Gramme: 1772106
·Z 0.00897 10_90
z, 0.00886 122_44
r; 0.00886 114_59
fs 0.00880 102_115
As 0.00858 65_115
w  0.00858 119_32
tn 0.00858 116_110
bb 0.00852 98_98
·N 0.00852 183_78
p. 0.00846 112_46
ui 0.00841 117_105
c  0.00841 99_32
ua 0.00841 117_97
·1 0.00835 183_49
hy 0.00835 104_121
00 0.00835 48_48
Lo 0.00824 76_111
Zi 0.00824 90_105
n= 0.00818 110_61
fn 0.00813 102_110
·H 0.00813 183_72
tf 0.00813 116_102
u, 0.00807 117_44
Ke 0.00801 75_101
sm 0.00790 115_109
dc 0.00784 100_99
py 0.00779 112_121
z· 0.00762 122_13
kn 0.00762 107_110
f. 0.00762 102_46
S· 0.00756 83_183
Ni 0.00751 78_105
k· 0.00745 107_13
fg 0.00739 102_103
Pl 0.00734 80_108
i, 0.00734 105_44
gd 0.00728 103_100
n' 0.00722 110_39
L· 0.00722 76_183
Pu 0.00722 80_117
n- 0.00722 110_45
aw 0.00717 97_119
xi 0.00705 120_105
gh 0.00705 103_104
Ca 0.00705 67_97
dh 0.00705 100_104
a· 0.00700 97_13
·1 0.00688 10_49
t= 0.00688 116_61
Um 0.00677 85_109
k. 0.00677 107_46
·c 0.00677 10_99
-· 0.00677 45_13
lp 0.00677 108_112
lh 0.00672 108_104
by 0.00666 98_121
E  0.00666 69_32
·B 0.00660 183_66
sd 0.00660 115_100
·J 0.00660 10_74
lr 0.00655 108_114
cc 0.00649 99_99
El 0.00649 69_108
t? 0.00649 116_63
mg 0.00643 109_103
kw 0.00643 107_119
·p 0.00643 183_112
xt 0.00643 120_116
az 0.00638 97_122
10 0.00638 49_48
o, 0.00638 111_44
G· 0.00626 71_183
E. 0.00621 69_46
EN 0.00621 69_78
W· 0.00615 87_183
ey 0.00609 101_121
 4 0.00609 32_52
B· 0.00609 66_183
s! 0.00604 115_33
·j 0.00604 10_106
 6 0.00604 32_54
i· 0.00604 105_13
Ex 0.00598 69_120
sf 0.00598 115_102
hz 0.00598 104_122
yt 0.00593 121_116
cu 0.00593 99_117
ER 0.00593 69_82
T  0.00593 84_32
s- 0.00587 115_45
·P 0.00587 183_80
·J 0.00587 183_74
20 0.00587 50_48
lw 0.00587 108_119
cl 0.00581 99_108
·w 0.00581 183_119
mb 0.00581 109_98
pg 0.00581 112_103
 Y 0.00581 32_89
Ih 0.00581 73_104
tb 0.00581 116_98
x  0.00576 120_32
No 0.00576 78_111
gm 0.00570 103_109
·F 0.00570 183_70
Vi 0.00570 86_105
=, 0.00570 61_44
ev 0.00564 101_118
mh 0.00564 109_104
'  0.00564 39_32
yr 0.00559 121_114
wh 0.00559 119_104
12 0.00559 49_50
·i 0.00559 183_105
g! 0.00559 103_33
ty 0.00559 116_121
fz 0.00553 102_122
d; 0.00553 100_59
dm 0.00553 100_109
iz 0.00547 105_122
oi 0.00547 111_105
e= 0.00547 101_61
eB 0.00547 101_66
p· 0.00547 112_183
y· 0.00542 121_13
dn 0.00542 100_110
·O 0.00536 183_79
Sl 0.00530 83_108
sb 0.00530 115_98
Za 0.00530 90_97
·M 0.00525 183_77
Qu 0.00519 81_117
Zo 0.00519 90_111
Po 0.00514 80_111
Ae 0.00514 65_101
gf 0.00514 103_102
 5 0.00514 32_53
hb 0.00514 104_98
b, 0.00508 98_44
Il 0.00508 73_108
Jo 0.00508 74_111
11 0.00502 49_49
dw 0.00502 100_119
Je 0.00502 74_101
.E 0.00497 46_69
w. 0.00497 119_46
l! 0.00485 108_33
a. 0.00485 97_46
g; 0.00485 103_59
e- 0.00485 101_45
Gi 0.00480 71_105
uk 0.00480 117_107
·G 0.00474 183_71
b· 0.00474 98_183
ps 0.00474 112_115
-I 0.00474 45_73
S. 0.00474 83_46
ww 0.00468 119_119
), 0.00468 41_44
dk 0.00468 100_107
ws 0.00463 119_115
N· 0.00463 78_183
 9 0.00463 32_57
Ru 0.00457 82_117
s; 0.00457 115_59
2. 0.00457 50_46
?· 0.00451 63_13
·O 0.00446 10_79
hf 0.00446 104_102
